task,model,harness,passed,tests,seconds,turns,tokens_in,tokens_cached,tokens_out,tool_calls,version
A1,gpt-5.6-terra,aetox,205,205,800,3,1800098,1660928,31766,78,aetox 1.9.0
A1,gpt-5.6-terra,codex,203,205,528,3,501287,435712,23414,24,codex-cli 0.157.1
A1,gpt-5.6-terra,opencode,205,205,607,3,803003,705536,25750,66,1.18.32
A1,gpt-6-luna,aetox,203,205,516,3,744906,660480,18645,40,aetox 1.9.0
A1,gpt-6-luna,codex,194,205,364,3,515042,452608,14665,26,codex-cli 0.157.1
A1,gpt-6-luna,opencode,199,205,380,3,628541,549376,13440,40,1.18.32
B1,gpt-5.6-terra,aetox,84,87,782,3,1895816,1765888,31993,79,aetox 1.9.0
B1,gpt-5.6-terra,codex,83,87,406,3,584168,513024,23256,28,codex-cli 0.157.1
B1,gpt-5.6-terra,opencode,81,87,608,3,1013614,882176,24632,56,1.18.32
B1,gpt-6-luna,aetox,84,87,616,3,1788117,1660928,21084,78,aetox 1.9.0
B1,gpt-6-luna,codex,68,87,268,3,283117,220160,10844,17,codex-cli 0.157.1
B1,gpt-6-luna,opencode,64,87,384,3,704645,625664,13462,39,1.18.32
B3a,gpt-5.6-terra,aetox,1,1,304,1,894442,761856,7229,50,aetox 1.9.0
B3a,gpt-5.6-terra,codex,1,1,180,1,539554,495872,5866,18,codex-cli 0.157.1
B3a,gpt-5.6-terra,opencode,1,1,224,1,504963,463872,4736,34,1.18.32
B3a,gpt-6-luna,aetox,1,1,926,1,1152534,1034752,4896,33,aetox 1.9.0
B3a,gpt-6-luna,codex,0,1,74,1,142754,116992,1978,8,codex-cli 0.157.1
B3a,gpt-6-luna,opencode,0,1,133,1,302019,270336,2050,22,1.18.32
C1,gpt-5.6-terra,aetox,23,23,670,6,1308059,1098496,13546,120,aetox 1.9.0
C1,gpt-5.6-terra,codex,22,23,322,6,420366,363008,8435,32,codex-cli 0.157.1
C1,gpt-5.6-terra,opencode,22,23,323,6,512444,418816,9666,78,1.18.32
C1,gpt-6-luna,aetox,23,23,432,6,681180,562688,6185,69,aetox 1.9.0
C1,gpt-6-luna,codex,23,23,168,6,316037,235520,4266,23,codex-cli 0.157.1
C1,gpt-6-luna,opencode,19,23,286,6,397585,313344,6850,69,1.18.32
F1,gpt-5.6-terra,aetox,28,28,234,1,373399,336896,10077,21,aetox 1.9.0
F1,gpt-5.6-terra,codex,25,28,130,1,89096,76032,5720,5,codex-cli 0.157.1
F1,gpt-5.6-terra,opencode,28,28,177,1,144571,128512,7564,14,1.18.32
F1,gpt-6-luna,aetox,28,28,86,1,87616,75264,3608,8,aetox 1.9.0
F1,gpt-6-luna,codex,28,28,80,1,54664,46848,3425,4,codex-cli 0.157.1
F1,gpt-6-luna,opencode,16,28,119,1,109360,90112,4352,13,1.18.32
F2,gpt-5.6-terra,aetox,14,17,174,1,392592,358912,6692,22,aetox 1.9.0
F2,gpt-5.6-terra,codex,16,17,78,1,40721,33792,3067,3,codex-cli 0.157.1
F2,gpt-5.6-terra,opencode,13,17,123,1,107325,89600,4872,13,1.18.32
F2,gpt-6-luna,aetox,17,17,102,1,173557,145408,3395,17,aetox 1.9.0
F2,gpt-6-luna,codex,15,17,50,1,41840,27904,1902,3,codex-cli 0.157.1
F2,gpt-6-luna,opencode,16,17,92,1,86455,73728,3116,13,1.18.32
S1,gpt-5.6-terra,aetox,47,51,306,2,457810,401920,10798,33,aetox 1.9.0
S1,gpt-5.6-terra,codex,50,51,250,2,177182,152832,10594,12,codex-cli 0.157.1
S1,gpt-5.6-terra,opencode,50,51,311,2,312627,263168,12285,42,1.18.32
S1,gpt-6-luna,aetox,45,51,276,2,305720,264704,5497,24,aetox 1.9.0
