emotion,background,theme_file,text_color,accent_usage,use_full_bleed,gradient,card_style
frustration,dark-surface,themes/house.css,foreground,minimal,false,none,subtle-border
hope,accent-bleed,themes/bleed.css,dark,none,true,none,none
fear,dark-background,themes/ink.css,primary,stats-only,false,none,glow-primary
relief,surface,themes/paper.css,foreground,icons,false,none,accent-bar
trust,surface-elevated,themes/elevated.css,foreground,metrics,false,none,subtle-border
urgency,gradient,themes/bleed.css,white,cta-button,true,primary,none
curiosity,dark-glow,themes/glow.css,gradient-text,badge,false,glow,glow-secondary
confidence,surface,themes/paper.css,foreground,chart-accent,false,none,none
warmth,dark-surface,themes/house.css,foreground,avatar-ring,false,none,none
evaluation,surface-elevated,themes/elevated.css,foreground,highlight,false,none,comparison
narrative,dark-background,themes/ink.css,foreground-secondary,timeline-dots,false,none,none
clarity,surface,themes/paper.css,foreground,icons,false,none,feature-card
interest,dark-glow,themes/glow.css,foreground,demo-highlight,false,glow,none
