code,name_th,name_en,postcode_prefix
10,กรุงเทพมหานคร,Bangkok,10
11,สมุทรปราการ,Samut Prakan,10
12,นนทบุรี,Nonthaburi,11
13,ปทุมธานี,Pathum Thani,12
14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,13
15,อ่างทอง,Ang Thong,14
16,ลพบุรี,Lopburi,15
17,สิงห์บุรี,Sing Buri,16
18,ชัยนาท,Chai Nat,17
19,สระบุรี,Saraburi,18
20,ชลบุรี,Chonburi,20
21,ระยอง,Rayong,21
22,จันทบุรี,Chanthaburi,22
23,ตราด,Trat,23
24,ฉะเชิงเทรา,Chachoengsao,24
25,ปราจีนบุรี,Prachinburi,25
26,นครนายก,Nakhon Nayok,26
27,สระแก้ว,Sa Kaeo,27
30,นครราชสีมา,Nakhon Ratchasima,30
31,บุรีรัมย์,Buri Ram,31
32,สุรินทร์,Surin,32
33,ศรีสะเกษ,Si Sa Ket,33
34,อุบลราชธานี,Ubon Ratchathani,34
35,ยโสธร,Yasothon,35
36,ชัยภูมิ,Chaiyaphum,36
37,อำนาจเจริญ,Amnat Charoen,37
38,บึงกาฬ,Bueng Kan,38
39,หนองบัวลำภู,Nong Bua Lam Phu,39
40,ขอนแก่น,Khon Kaen,40
41,อุดรธานี,Udon Thani,41
42,เลย,Loei,42
43,หนองคาย,Nong Khai,43
44,มหาสารคาม,Maha Sarakham,44
45,ร้อยเอ็ด,Roi Et,45
46,กาฬสินธุ์,Kalasin,46
47,สกลนคร,Sakon Nakhon,47
48,นครพนม,Nakhon Phanom,48
49,มุกดาหาร,Mukdahan,49
50,เชียงใหม่,Chiang Mai,50
51,ลำพูน,Lamphun,51
52,ลำปาง,Lampang,52
53,อุตรดิตถ์,Uttaradit,53
54,แพร่,Phrae,54
55,น่าน,Nan,55
56,พะเยา,Phayao,56
57,เชียงราย,Chiang Rai,57
58,แม่ฮ่องสอน,Mae Hong Son,58
60,นครสวรรค์,Nakhon Sawan,60
61,อุทัยธานี,Uthai Thani,61
62,กำแพงเพชร,Kamphaeng Phet,62
63,ตาก,Tak,63
64,สุโขทัย,Sukhothai,64
65,พิษณุโลก,Phitsanulok,65
66,พิจิตร,Phichit,66
67,เพชรบูรณ์,Phetchabun,67
70,ราชบุรี,Ratchaburi,70
71,กาญจนบุรี,Kanchanaburi,71
72,สุพรรณบุรี,Suphan Buri,72
73,นครปฐม,Nakhon Pathom,73
74,สมุทรสาคร,Samut Sakhon,74
75,สมุทรสงคราม,Samut Songkhram,75
76,เพชรบุรี,Phetchaburi,76
77,ประจวบคีรีขันธ์,Prachuap Khiri Khan,77
80,นครศรีธรรมราช,Nakhon Si Thammarat,80
81,กระบี่,Krabi,81
82,พังงา,Phang Nga,82
83,ภูเก็ต,Phuket,83
84,สุราษฎร์ธานี,Surat Thani,84
85,ระนอง,Ranong,85
86,ชุมพร,Chumphon,86
90,สงขลา,Songkhla,90
91,สตูล,Satun,91
92,ตรัง,Trang,92
93,พัทลุง,Phatthalung,93
94,ปัตตานี,Pattani,94
95,ยะลา,Yala,95
96,นราธิวาส,Narathiwat,96
